267.6,30.8,100.455,2.62
265,33.45,100.488,2.21
248.8,35.65,100.502,1.95
233.3,36.89,100.423,2.05
223.6,37.2,100.333,2.46
219.1,36.85,100.254,3.11
218.3,35.75,100.183,3.78
223,34.4,100.136,4.37
229.6,32.19,100.126,4.84
234.9,31,100.176,5.27
237.5,28.89,100.249,5.45
239.8,27.3,100.318,5.76
242.4,26.84,100.365,5.96
243.2,26.41,100.44,5.85
243.2,26.03,100.485,5.74
243.3,25.67,100.485,5.75
244.1,25.32,100.408,5.77
245.4,24.98,100.334,5.84
247.5,24.71,100.262,5.95
251.7,25.13,100.231,5.96
256.5,25.35,100.227,5.74
261,25.42,100.236,5.56
205.7,25.28,100.164,0.81
146.2,29.1,100.238,0.22
94.4,33.43,100.318,0.98
109.9,36.74,100.35,1.56
123.4,38.86,100.329,1.89
131.8,41.09,100.245,2.2
137.1,42.53,100.14,2.52
141.5,42.54,99.984,2.92
145.2,42.09,99.867,3.32
145.8,40.53,99.82,3.73
144.5,37.68,99.778,4.11
143,35.19,99.833,4.42
141.5,32.41,99.898,4.8
141.5,30.44,99.982,5.16
142.5,29.65,100.068,5.21
143.7,29,100.124,5.26
145.4,28.38,100.156,5.18
148.5,27.85,100.191,4.92
152.6,27.33,100.15,4.58
156.7,26.88,100.087,4.31
159.1,26.48,100.062,4.15
161.3,26,100.037,3.39
162.3,25.72,100.046,2.41
158.1,25.6,100.095,1.47
273.6,25.56,100.172,3.12
280.4,27.53,100.219,3.01
284.9,29.63,100.285,2.94
279.2,32.29,100.325,2.71
266.7,34.47,100.319,2.34
253.2,35.25,100.275,2.23
238.9,35.35,100.228,2.39
229,35.74,100.111,2.77
223,35.65,100.014,3.17
221.3,34.96,99.952,3.52
219.5,33.7,99.924,3.74
217.7,32.14,99.943,4.06
214.7,29.78,100.015,4.41
212.7,28.27,100.092,4.8
211.3,27.91,100.144,4.96
212.2,27.58,100.183,5
214.6,27.28,100.222,4.98
217.3,26.97,100.213,4.89
220.5,26.71,100.158,4.74
222.4,26.44,100.092,4.63
222.8,26.47,100.053,4.51
224.9,27.05,99.999,4.13
227.4,27.25,99.983,3.72
229.2,27.21,100.006,3.48
45.2,25.35,100.075,2.96
51.4,26.74,100.138,2.94
62.4,28.13,100.195,2.94
72.1,29.51,100.231,2.92
78.4,30.48,100.225,2.68
86.4,31.28,100.168,2.36
96.6,31.63,100.077,2.07
103.3,31.38,99.998,1.88
103.7,30.68,99.931,1.74
103.4,29.98,99.891,1.38
104,29.08,99.936,1.01
103.2,28.3,100.019,0.83
98.9,27.51,100.08,0.79
90.2,26.88,100.191,0.89
80.7,26.58,100.233,1.02
74.1,26.32,100.277,1.55
68.8,26.05,100.306,2.16
65.8,25.8,100.281,2.58
65.6,25.61,100.244,2.83
66.3,25.43,100.184,2.97
66.7,25.31,100.129,3.07
65.2,25.21,100.104,3.15
64.3,25.12,100.104,3.29
63.2,25.09,100.168,3.49
243.7,24.83,100.012,4.7
242.7,27,100.086,4.38
245.5,29.21,100.156,4.38
248.6,31.15,100.252,4.89
248.6,32.16,100.26,4.88
